,,Anul II Seria A,,,,,,,,,Anul II Seria B,,,,,,,,,Anul II Seria C,,,,,,,,,Anul II Seria D,,,,,,,,,Anul II Seria E,,,,,,,,,Anul II Seria F,,,,,,,,,Anul II Seria G,,,,,,,,,curs,curs,curs,sem,,,,,,,,
,,421Aa,421Ab,422Aa,422Ab,423Aa,423Ab,424Aa,424Ab,Sala,421Ba,421Bb,422Ba,422Bb,423Ba,423Bb,424Ba,424Bb,sala,421Ca,421Cb,422Ca,422Cb,423Ca,423Cb,424Ca,424Cb,sala,421Da,421Db,422Da,422Db,423Da,423Db,424Da,424Db,sala,421Ea,421Eb,422Ea,422Eb,423Ea,423Eb,424Ea,424Eb,sala,421Fa,421Fb,422Fa,422Fb,423Fa,423Fb,424Fa,424Fb,sala,421Ga,421Gb,422Ga,422Gb,423Ga,423Gb,424Ga,424Gb,sala,B110,A05,B219b,,Sport,ASC (l),CID (l),CE (l),Sala 3,,,
LUNI,09-10,,,"ASC (s)
B122",,ASC (l) / --,,-- / ASC (l),,,"CEF (curs)
prof. D. Dobrescu",,,,,,,,B110,"CEF (curs)
prof. D. Neculoiu",,,,,,,,B219b,,,"CEF (s)
B12",,AMP (l) / --,,Sport / AMP (l),,,"AMP (curs) 
prof. Rodica Constantinescu",,,,,,,,A05,"-- / Man (s)
-- / B04",,,,"Man (s) /  -
B04 / --",,"ASC (s)
B218",,,,,CID (s+l),,"AMP (l)
/ ---","--- /
AMP (l)",,,,1,1,1,4,1,2,1,0,0,,,
,10-11,,,,,ASC (l) / CE (l),,CE (l) / ASC (l),,,,,,,,,,,B110,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,0,,,
,11-12,,,CID (s+l),,,,,,,"ASC (curs)
prof. D. Stanomir",,,,,,,,B110,"AMP (curs) 
prof. Rodica Constantinescu",,,,,,,,B219b,- / AMP (l),,AMP (l) / --,,"CEF (s)
B04",,"ASC (s)
B12",,,"ASC (curs)
prof. Lucian Stanciu",,,,,,,,A05,Sport,,,,"ASC (s)
B218",,"CEF (s)
B122",,,,,"AMP (l)
/ ---","--- /
AMP (l)","CEF (s)
 Infineon",,,,,1,1,1,5,1,,1,,0,,,
,12-13,,,,,,,,,,,,,,,,,,B110,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,1,1,1,,,,,0,0,,,
,13-14,Sport,,Sport,,"ASC (s)
B13",,,,,CE (l) / ASC (l),,CID (s+l),,,,CE (l) / ASC (l),,,"ASC (s)
B12",,,,,,,,,"AMP (curs)
prof. Sorin Zoican",,,,,,,,B110,"CID (curs)
prof. M. Dascalu",,,,,,,,A05,"ASC (s)
B218",,,,"CEF (s)
B122",,,,,"AMP (l)
/ ---","--- /
AMP (l)",ASC (l) / CE (l),,,,Sport,,,1,1,0,4,2,3,1,,0,,,
,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B110,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,0,,,
,15-16,"-- / O3 (c) PPA A102
-- / O3 (c) SPICE B110",,,,,,,,,,-- / O3 (c) PPA (E. Popovici),,,,,,-- / O3 (c) PPA,,O3 (c) SPICE ( prof. Cristian Ravariu) B110 / O3 (c) PPA (E. Popovici) A102,,,,,,,,,O3 (c) SPICE ( prof. Cristian Ravariu) B110 / O3 (c) PPA (E. Popovici) A102,,,,,,,,,CID (s+l),"-- / O3 (c) PPA (E. Popovici)
-- / O3 (c) SPICE ( prof. Cristian Ravariu)",,,CID (s+l),"-- / O3 (c) PPA (E. Popovici)
-- / O3 (c) SPICE ( prof. Cristian Ravariu)",,,,"CEF (s)
B122",,"ASC (s)
B218",,-- / O3 (c) PPA (E. Popovici),,,,,-- / O3 (c) PPA,,,,-- / O3 (c) PPA (E. Popovici),,,,,0,0,0,2,0,,2,0,0,,,
,16-17,,,,,,,,,,-- / ASC (l),,,,,,-- / ASC (l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC (l) / --,,,,,,,0,0,0,,,,,,0,,,
,17-18,"O3 (curs)
TIE (N. Codreanu) / --",,,,,,,,,O3 (c) TIE / --,CE (l) / ASC (l),O3 (curs) TIE (N. Codreanu) / --,,,,,CE (l) / ASC (l),,"O3 (curs)
TIE (N. Codreanu) / --",,,,,,,,,"O3 (curs)
TIE (N. Codreanu) / --",,,,,,,,,"O3 (curs)
TIE (N. Codreanu) / --",,,,,,,,,CID (s+l),"O3 (curs)
TIE (N. Codreanu) / --",,,,,,CID (s+l),,ASC (l) / CE (l),,O3 (curs) TIE (N. Codreanu) / --,,,,"AMP (l)
/ ---","--- /
AMP (l)",,0,0,0,0,0,3,2,,0,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,,,
,19-20,"AMP (l)
/ ---","--- /
AMP (l)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID (s+l),,,0,0,0,0,0,,1,,0,,,
,20-21,,,,,,,,,,,-- / ASC (l),,,,,,-- / ASC (l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC (l) / --,,,,,,,,,0,0,0,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
MARTI,09-10,,,"AMP (l)
/ ---","--- /
AMP (l)","CEF (s)
B12",,CID (s+l),,,,,,,"CEF (s)
B122",,,,,AMP (l) / --,,,,,,-- / AMP (l),,,,,-- / ASC (l),,,,ASC (l) / --,,,"ASC (curs) / CEF (curs)
prof. Lucian Stanciu / prof. D. Dascalu",,,,,,,,B219b,"ASC (curs)
prof. Mircea Raducanu",,,,,,,,B212,"ASC (curs)
prof. Cristian Negrescu",,,,,,,,A05,0,1,1,2,0,2,1,0,0,,,
,10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE (l) / ASC (l),,,,ASC (l) / CE (l),,,,,,,,,,,B219b,,,,,,,,,B212,,,,,,,,,A05,0,1,1,,,,,,0,,,
,11-12,CID (s+l),,"CEF (s)
B12",,"AMP (l)
/ ---","--- /
AMP (l)","ASC (s)
B122",,,,,,,,,"CEF (s)
Infineon",,,,,-- / AMP (l),,AMP (l) / --,,,,,,,,,,,,,,"AMP (curs) / --
prof. R. Constantinescu / --",,,,,,,,B219b,"CID (curs)
prof. Calin Bira",,,,,,,,B212,"CEF (curs)
Prof. G. Dima",,,,,,,,A05,0,1,1,3,0,,1,,0,,,
,12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B212,,,,,,,,,A05,0,1,0,,,,,0,0,,,
,13-14,"ASC (s)
B218",,,,,,"CEF (s)
B12",,,"CEF (s)
B122",,ASC (l) / --,,-- / ASC (l),,,,,"AMP (curs) / --
prof. Rodica Constantinescu / --",,,,,,,,A05,"- / ASC (curs) 
- / prof. Teodor Petrescu",,,,,,,,,,,,,,,,,,,,CID (s+l),,Sport,,Sport,,,"AMP (curs)
prof.  Corneliu Burileanu",,,,,,,,A101,0,1,0,3,2,2,1,,0,,,
,14-15,,,,,,,,,,,,ASC (l) / CE (l),,CE (l) / ASC (l),,,,,,,,,,,,,,,,,,,,,,B212,,,,,,,,,,,,,,,,,,,,,,,,,,,A101,0,0,0,,,,,,0,,,
,15-16,"CEF (s)
B12",,,,,,"AMP (l)
/ ---","--- /
AMP (l)",,Sport,,,,,,"ASC (s)
B122",,,"ASC (curs)
prof. Simona Halunga",,,,,,,,A05,"CID (curs)
 prof. Z. Hascsi ",,,,,,,,B212,,,,,,,,,,,,,,,,,,,CID (s+l),,,,Sport,,,,,0,1,0,2,2,,1,0,0,,,
,16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,B212,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,0,,,
,17-18,,,,,,,,,,"ASC (s)
B12",,,,,,,,,"CID (curs)
prof. Monica Dascalu",,,,,,,,A05,"-- / Man (s)
-- / B218",,,,"Man (s) / --
B218 / --",,CID (s+l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,0,0,1,,0,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,0,0,,,
,19-20,,,,,,,,,,,,"ASC (s)
B122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
MIERCURI,09-10,"ASC (curs)
prof. Lucian Stanciu",,,,,,,,B110,,,,,,,,,,-- / ASC (l),,,,,,,,,"CEF (curs)
prof.  Florin Draghici",,,,,,,,A05,AMP (l) / --,,-- / AMP (l),,,,,,,,,"CEF (s)
B122",,ASC (l) / --,,"AMP (l)
/ ---","--- /
AMP (l)",,Sport,,"- / Man (s)
-- / B12",,CID (s+l),,"ASC (s)
B218",,,1,1,0,2.5,1,1,1,0,0,,,
,10-11,,,,,,,,,B110,,,,,,,,,,CE (l) / ASC (l),,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,ASC (l) / CE (l),,,,,,,,,,,,,,1,1,0,,,,,,0,,,
,11-12,"CEF (curs)
prof. Gheorghe Brezeanu",,,,,,,,B110,,,"CEF (s)
B122",,CID (s+l),,,,,,,"ASC (s)
B12",,,,"ASC (s)
B13",,,"ASC (curs)
prof. Teodor Petrescu",,,,,,,,A05,"ASC (s)
B218",,Sport,,AMP (l) / --,,-- / AMP (l),,,,,,,,,,,,"Man (s) / CEF (c)
B219b / prof. Dim",,"- / CEF (c)
-- / Prof. G. Dima",,,,,,,1,1,0,4.5,1,,1,,0,,,
,12-13,,,,,,,,,B110,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,B219b,1,1,1,,,,,0,0,,,
,13-14,"CID (curs)
prof. Gheorghe M. Stefan",,,,,,,,B110,"AMP (curs) / CID (curs)
prof.  Corneliu Burileanu / prof. S. Maican",,,,,,,,A101,"-- / ASC (curs)
-- / prof. Simona Halunga",,,,,,,,,"AMP (curs) / CID (curs) 
prof. Sorin Zoican / Prof. Z. Hascsi",,,,,,,,A05,Sport,,CID (s+l),,,,"ASC (s)
B122",,,ASC (l) / CE (l),,Sport,,"AMP (l)
/ ---","--- /
AMP (l)",CE (l) / ASC (l),,,"CID (curs) / AMP (curs)
prof. Z. Hascsi / prof. C. Burileanu",,,,,,,,B219b,1,1,1,1,2,1,1,,0,,,
,14-15,,,,,,,,,B110,,,,,,,,,A102,,,,,,,,,A05,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,,,,,,,,,,A101,1,1,1,,,,,,0,,,
,15-16,,,,,,,,,,"ASC (curs)
prof. D. Stanomir",,,,,,,,A05,"CID (curs) / CEF (curs)
prof. Monica Dascalu / prof. D. Neculoiu",,,,,,,,B219b,"ASC (s)
B12",,"- / Man (s)
-- / B218",,"ASC (s)
B122",,"Man (s) / Sport
B218 /",,,,,,,Sport,,,,,,,"AMP (l)
/ ---","--- /
AMP (l)",CID (s+l),,,,,,,,,,,,,,0,1,1,3,2,,1,0,0,,,
,16-17,,,,,,,,,,,,,,,,,,A05,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,,ASC (l) / --,,,,,,-- / ASC (l),,,,,,,,,,,,0,1,1,,,,,,0,,,
,17-18,,,,,,,,,,"O4 Management (curs)
prof. I. Enache",,,,,,,,A05,,,,,CID (s+l),,"CEF (s)
B122",,,,,,,,,,,,"CEF (s) / --
B110 / --",,,,ASC (l) / CE (l),,CE (l) / ASC (l),,B110,"AMP (l)
/ ---","--- /
AMP (l)",,,,,,,,,,,,,,,,,1,1,0,2,0,1,1,,0,,,
,18-19,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,B110,,,,,,,,,,,,,,,,,,,1,1,0,,,,,0,0,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,"CEF (s)
B122",,CID (s+l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,1,,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC (l) / --,,-- / ASC (l),,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
JOI,09-10,"ASC (curs) / --
prof. Lucian Stanciu / --",,,,,,,,B219b,"CEF (curs) / O3 (c) SPICE
prof. D. Dobrescu /  prof. L. Dobrescu",,,,,,,,B110,,,,,"-- / Man (s)
-- / B12",,"Man (s) / --
B12 / --",,,ASC (l) / --,,CID (s+l),,-- / ASC (l),,,,,,,,,,,,,,"ASC (curs) / CEF (curs)
prof. Mircea Raducanu / D. Dobrescu",,,,,,,,A05,,,Sport,,,,,,,1,1,1,1,1,1,1,0,0,,,
,10-11,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,ASC (l) / CE (l),,,,CE (l) / ASC (l),,,,,,,,,,,,,,,,,,,,,,B110,,,,,,,,,,1,1,0,,,,,,0,,,
,11-12,"CEF (curs) / AMP (curs)
prof. Gheorghe Brezeanu / prof. Horia Cucu",,,,,,,,B110,"CID (curs) 
prof. Sanda Maican",,,,,,,,A101,"Man (s) / --
B04 / --",,"-- / Man (s)
-- / B04",,,,Sport,,,,,Sport,,,,,,,"-- / CEF (s)
-- / A103",,,,"ASC (s)
B122",,CID (s+l),,,"AMP (curs) / CID (curs)
prof. Horia Cucu / prof. Calin Bira",,,,,,,,A05,,,"ASC (s)
B218",,"-- / Man (s)
-- / B12",,"Man (s) / --
B12 / --",,,1,1,0,5,2,,1,,0,,,
,12-13,,,,,,,,,B110,,,,,,,,,A101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,1,1,0,,,,,0,0,,,
,13-14,"O4 Management (curs)
prof. B. Alexandrescu",,,,,,,,B110,"AMP (curs)
prof. Corneliu Burileanu",,,,,,,,A101,,,,,CE (l) / ASC (l),,,,,Sport,,"ASC (s)
B12",,Sport,,,,,,,"ASC (s)
B122",,"CEF (s)
A05",,,,,,CID (s+l),ASC (l) / CE (l),,,,CID (s+l),,,,,,,"ASC (s)
B218",,"CEF (s)
 Infineon",,,1,0,0,5,2,1,2,,0,,,
,14-15,,,,,,,,,B110,,,,,,,,,A101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,0,,,
,15-16,"Man (s) / --
B12 / --",,"-- / Man (s)
-- / B12",,CID (s+l),,,,,,,,,,,,,,Sport,,Sport,,,,,,,,,,,,,,,,"- / CID (c) 
 -- / M. Dascalu",,,,,,,,,,,,,,,,,,"ASC (s)
B218",,"CEF (s)
 Infineon",,,,,,,0,0,0,3,2,,1,0,0,,,
,16-17,,,,,,,,,,,,,,,,,,,,,,,ASC (l) / --,,,,,,,,,,,,,,,,,,,,,,B110,,,ASC (l) / --,,,,,,,,,,,,,,,,1,0,0,,,,,,0,,,
,17-18,,,,,,,,,,,,,,,,,,,"CEF (s)
B122",,CID (s+l),,,,,,,,,,,,,,,,"CEF (curs)
prof. D. Dascalu",,,,,,,,B110,,,,,,,,,,"CEF (s)
 Infineon",,,,ASC (l) / --,,-- / ASC (l),,,1,0,0,2,0,1,1,,0,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B110,,,,,,,,,,,,,,ASC (l) / CE (l),,CE (l) / ASC (l),,,1,0,0,,,,,1,0,,,
,19-20,,,,,,,,,,,,,,,,,,,CID (s+l),,"CEF (s)
B122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,1,,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,Legendă,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
VINERI,09-10,"CID (curs)
prof. Gheorghe M. Stefan",,,,,,,,A05,CID (s+l),,Sport,,"AMP (l)
/ ---","--- /
AMP (l)",,,,,,ASC (l) / --,,"ASC (s)
B122",,-- / ASC (l),,,"- / CEF (curs)
- / prof.  Florin Draghici",,,,,,,,,,,,,"Man (s) / --
B12 / --",,"-  / Man (s)
-- / B12",,,O3 (c) SPICE (D. Dobrescu) / --,,,,,,,,B110,--- / O3 (c) SPICE (D. Dobrescu),,,,,,,,,1,1,0,2,1,1,1,0,0,"Activitate didactică
obligatorie",,"Act. Săpt impară /
/ Act. Săpt pară"
,10-11,,,,,,,,,A05,,,,,,,,,,,,ASC (l) / CE (l),,,,CE (l) / ASC (l),,,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,,,,,,,,,,B110,1,1,1,,,,,,0,,,
,11-12,"AMP (curs)
prof. Horia Cucu",,,,,,,,A05,"Man (s) / --
B218 / --",,"AMP (l)
/ ---","--- /
AMP (l)","- / Man (s)
- / B218",,CID (s+l),,,,,,,Sport,,,,,"O4 Management (curs)
",,,,,,,,B219b,"Man (s) / --
B12 / --",,"- / Man (s)
- / B12",,,,Sport,,,"CEF (curs)
prof. D. Dobrescu",,,,,,,,B110,"ASC (curs)
prof. Cristian Negrescu",,,,,,,,A101,1,1,1,2,2,,1,,0,,,
,12-13,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,B110,,,,,,,,,A101,1,1,1,,,,,0,0,,,
,13-14,ASC (l) / CE (l),,CE (l) / ASC (l),,"Man (s) / -
B122 / --",,"-- / Man (s)
-- / B122",,,"AMP (l)
/ ---","--- /
AMP (l)","Man (s) / --
B12 / --",,Sport,,"-- / Man (s)
-- / B12",,,"O4 Management (curs)
prof. I. Grecu",,,,,,,,A05,,,,,CID (s+l),,"CEF (s)
B218",,,"O4 Management (curs)
prof. B. Fleacă",,,,,,,,B219b,"AMP (curs)
prof. Horia Cucu",,,,,,,,B110,"CID (curs)
Prof. Z. Hascsi",,,,,,,,A101,1,1,1,3,1,1,1,,0,"Activitate didactică
opţională",,"Act. Săpt impară /
/ ---"
,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,B219b,,,,,,,,,B110,,,,,,,,,A101,1,1,1,,,,,,0,,,
,15-16,,,,,Sport,,Sport,,,,,,,"ASC (s)
B219b",,Sport,,,,,,,,,,,,"CEF (s)
B122",,,,,,,,,,CID (s+l),,,,CID (s+l),,,,"O4 Management (curs)
prof. I. Grecu",,,,,,,,B110,"O4 Management (curs)
prof. B. Alexandrescu",,,,,,,,A05,1,1,0,2,3,,2,0,0,,,
,16-17,ASC (l) / --,,-- / ASC (l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B110,,,,,,,,,A05,1,1,0,,,,,,0,,,
,17-18,,,,,,,,,,,,,,,,"AMP (l)
/ ---","--- /
AMP (l)",,,,,,,,,,,CID (s+l),,,,,,,,,ASC (l) / CE (l),,CE (l) / ASC (l),,,,,,,,,"Man (s) / --
B218 / --",,,,"-- / Man (s)
-- / B218",,,,,,,,,,,,0,0,0,1,0,2,1,,0,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC (l) / --,,-- / ASC (l),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID (curs),,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
ASC (curs),,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
AMP (curs),,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
CEF (curs),,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3,,2,,,,,,,,,5,,,,,,,,,2,,,,,,,,,2,,,,,,,,,3,,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
O4,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID (s+l),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
Man (s),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
CE (l),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
ASC (l),,2,,2,,2,,2,,,2,,2,,2,,2,,,2,,2,,2,,2,,,2,,2,,2,,2,,,1,,1,,2,,2,,,2,,2,,2,,2,,,2,,2,,2,,2,,,,,,,,,,,,,,
AMP (l),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
CEF (s),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,2,,,,1,,,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
ASC (s),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
Sport,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,2,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,